"NDB_No","Seq","Amount","Msre_Desc","Gm_Wgt","Num_Data_pts","Std_Dev"
"01152","1","1.0","cup","245.0","",""
"01152","2","1.0","quart","980.0","",""
"01153","1","1.0","fl oz","31.5","",""
"01153","2","0.5","cup","126.0","",""
"01154","1","0.25","cup","30.0","",""
"01154","2","1.0","cup","120.0","",""
"01155","1","1.0","cup","68.0","",""
"01155","2","1.0","envelope (1-1/3 cup)","91.0","",""
"01156","1","1.0","oz","28.35","",""
"01157","1","1.0","oz","28.35","",""
"01159","1","1.0","oz","28.35","",""
"01160","1","1.0","oz","28.35","",""
"01160","2","0.5","lb","227.0","",""
"01161","1","1.0","cup, shredded","113.0","",""
"01161","2","1.0","oz","28.35","",""
"01161","3","1.0","cubic inch","18.0","",""
"01161","4","1.0","slice","28.0","",""
"01161","5","3.0","oz","85.0","",""
"01164","1","2.0","tbsp","30.0","",""
"01164","2","1.0","cup","243.0","",""
"01165","1","1.0","cup, crumbled","132.0","",""
"01165","2","1.0","oz","28.35","",""
"01166","1","1.0","cup, diced","132.0","",""
"01166","2","1.0","cup, shredded","113.0","",""
"01166","3","1.0","oz","28.35","",""
"01166","4","1.0","cubic inch","18.0","",""
"01166","5","1.0","slice (1 oz)","28.0","",""
"01167","1","1.0","cup, diced","132.0","",""
"01167","2","1.0","cup, shredded","113.0","",""
"01167","3","1.0","oz","28.35","",""
"01167","4","1.0","cubic inch","17.0","",""
"01167","5","1.0","slice (1 oz)","28.0","",""
"01168","1","1.0","cup, diced","132.0","",""
"01168","2","1.0","cup, shredded","113.0","",""
"01168","3","1.0","oz","28.35","",""
"01168","4","1.0","cubic inch","17.0","",""
"01168","5","1.0","slice (1 oz)","28.0","",""
"01169","1","1.0","cup, diced","132.0","",""
"01169","2","1.0","cup, shredded","113.0","",""
"01169","3","1.0","oz","28.35","",""
"01169","4","1.0","cubic inch","17.0","",""
"01169","5","1.0","slice (1 oz)","28.0","",""
"01171","1","1.0","oz","28.0","",""
"01172","1","1.0","oz","28.0","",""
"01173","1","1.0","oz","28.0","",""
"01174","1","1.0","cup","246.0","",""
"01174","2","1.0","quart","984.0","",""
"01175","1","1.0","cup","244.0","",""
"01175","2","1.0","quart","976.0","",""
"01178","1","1.0","tablespoon","12.0","",""
"01178","2","1.0","cup","230.0","",""
"01179","1","1.0","tablespoon","12.0","",""
"01179","2","1.0","cup","230.0","",""
"01180","1","1.0","tablespoon","12.0","",""
"01180","2","1.0","cup","230.0","",""
"01184","1","1.0","container (6 oz)","170.0","",""
"01185","1","1.0","tablespoon","5.0","",""
"01186","1","1.0","tbsp","18.0","6","0.251"
"01187","1","1.0","container (6 oz)","170.0","",""
"01188","1","2.0","tbsp","33.0","",""
"01189","1","2.0","tbsp","35.0","",""
"01190","1","1.0","slice","21.0","",""
"01191","1","1.0","oz","28.0","",""
