"NDB_No","Nutr_No","Isfl_Val","SD","n","Min","Max","CC","DataSrc_ID"
"14106","716","1.0E-4","","1.0","1.0E-4","1.0E-4","","89"
"14201","710","0.0","","1.0","0.0","0.0","D","89"
"14201","711","0.0","","1.0","0.0","0.0","D","89"
"14201","712","0.0","","1.0","0.0","0.0","D","89"
"14201","713","0.0","","1.0","0.0","0.0","D","89"
"14201","715","2.0E-4","","1.0","2.0E-4","2.0E-4","","89"
"14201","716","0.0","","1.0","0.0","0.0","","89"
"14209","710","0.025","0.03535533905932738","2.0","0.0","0.05","C","31,89"
"14209","711","0.01","0.01414213562373095","2.0","0.0","0.02","C","31,89"
"14209","712","0.0","","1.0","0.0","0.0","C","89"
"14209","713","0.035","0.04949747468305833","2.0","0.0","0.07","C","31,89"
"14209","714","0.0","","1.0","0.0","0.0","","31"
"14209","715","1.0E-4","1.414213562373095E-4","2.0","0.0","2.0E-4","","31,89"
"14209","716","0.025","0.03535533905932738","2.0","0.0","0.05","","31,89"
"14242","710","0.0","","1.0","0.0","0.0","C","89"
"14242","711","0.0","","1.0","0.0","0.0","C","89"
"14242","712","0.0","","1.0","0.0","0.0","C","89"
"14242","713","0.0","","1.0","0.0","0.0","C","89"
"14242","715","0.001","","1.0","0.001","0.001","","89"
"14242","716","0.0","","1.0","0.0","0.0","","89"
"14355","710","0.0","0.0","2.0","0.0","0.0","C","31,89"
"14355","711","0.0","0.0","2.0","0.0","0.0","C","31,89"
"14355","712","0.0","","1.0","0.0","0.0","C","89"
"14355","713","0.0","0.0","2.0","0.0","0.0","C","31,89"
"14355","715","1.0E-4","","1.0","1.0E-4","1.0E-4","","89"
"14355","716","2.0E-4","","1.0","2.0E-4","2.0E-4","","89"
"14602","710","0.0","","1.0","0.0","0.0","C","89"
"14602","711","0.0","","1.0","0.0","0.0","C","89"
"14602","712","0.0","","1.0","0.0","0.0","C","89"
"14602","713","0.0","","1.0","0.0","0.0","C","89"
"14602","715","0.0121","","1.0","0.0121","0.0121","","89"
"14602","716","1.0E-4","","1.0","1.0E-4","1.0E-4","","89"
"15138","710","0.05","0.07071067811865477","2.0","0.0","0.1","C","91"
